初始化类别中心1:
488	8	1.64	
类别1:
午餐包	63	1	1.59	
刨丝器	67	1	1.49	
全景	65	1	1.54	
健胸	63	1	1.59	
倍丝柔	65	1	1.54	
修剪	66	1	1.52	
人像	67	1	1.49	
亨得利	67	1	1.49	
亚麻凉席	63	1	1.59	
乐蜂网	66	1	1.52	
万圣节服装	65	1	1.54	
yanhee	67	1	1.49	
spf10	65	1	1.54	
salomon	66	1	1.52	
pt990	64	1	1.56	
price	65	1	1.54	
m号	67	1	1.49	
montblanc	65	1	1.54	
inanna	63	1	1.59	
i9108	63	1	1.59	
howru	63	1	1.59	
cymo	63	1	1.59	
clear	63	1	1.59	
bobbi	67	1	1.49	
2200w	63	1	1.59	
1段	64	1	1.56	
1个月	64	1	1.56	
初始化类别中心6:
112	1	0.89	
类别6:
牛仔裙	115	3	2.61	
宝狮	115	3	2.61	
中型犬	115	3	2.61	
费洛蒙	114	2	1.75	
男拖鞋	115	2	1.74	
男女宝	113	2	1.77	
爬虫	113	2	1.77	
烘干	114	2	1.75	
梨牌	115	2	1.74	
机顶盒	113	2	1.77	
教师	115	2	1.74	
折扇	113	2	1.77	
成套	114	2	1.75	
奈米	114	2	1.75	
国际品牌	115	2	1.74	
团队	113	2	1.77	
印制	114	2	1.75	
南红	113	2	1.77	
偏光镜	115	2	1.74	
不漏秒	114	2	1.75	
齐齐蛙	115	1	0.87	
高亮	115	1	0.87	
震动棒	116	1	0.86	
隔离	113	1	0.88	
阿克苏	116	1	0.86	
酒庄	115	1	0.87	
鄂尔多斯	112	1	0.89	
邓禄普	113	1	0.88	
软吸管	113	1	0.88	
路飞	111	1	0.9	
观赏鱼	113	1	0.88	
花式	114	1	0.88	
艺福堂	113	1	0.88	
腹肌板	113	1	0.88	
羽毛牌	112	1	0.89	
美琪	113	1	0.88	
美国双杰	114	1	0.88	
纸元素	112	1	0.89	
科荣	113	1	0.88	
男女内裤	114	1	0.88	
玉玺	114	1	0.88	
熨烫	111	1	0.9	
滑梯	116	1	0.86	
清朝	116	1	0.86	
洽洽	112	1	0.89	
波罗	113	1	0.88	
河南	115	1	0.87	
氛围灯	115	1	0.87	
棉窝	111	1	0.9	
标致	114	1	0.88	
枕巾	113	1	0.88	
木雕	111	1	0.9	
易燃火山	112	1	0.89	
无扣	115	1	0.87	
插针	116	1	0.86	
插梳	116	1	0.86	
提拉米苏	114	1	0.88	
干性	115	1	0.87	
带开关	113	1	0.88	
家庭影院	116	1	0.86	
夏凉席	111	1	0.9	
处理	112	1	0.89	
圣荷	115	1	0.87	
国标	115	1	0.87	
唯品会	111	1	0.9	
吐司机	114	1	0.88	
双鱼	115	1	0.87	
印字	112	1	0.89	
凤眼	111	1	0.9	
养护	111	1	0.9	
倍耐力	111	1	0.9	
上水	115	1	0.87	
三色金	113	1	0.88	
三国传	115	1	0.87	
z.suo	113	1	0.88	
u956	112	1	0.89	
moco	114	1	0.88	
lebron	114	1	0.88	
46寸	114	1	0.88	
19寸	111	1	0.9	
初始化类别中心7:
82	2	2.44	
类别7:
舞鞋	86	4	4.65	
妊娠纹	86	4	4.65	
贝贝卡西	83	3	3.61	
瘦身贴	83	3	3.61	
洗漱套装	83	3	3.61	
泡椒凤爪	84	3	3.57	
妈妈喂	84	3	3.57	
growl	84	3	3.57	
隔水炖	83	2	2.41	
镜面	83	2	2.41	
辅料	83	2	2.41	
花托	83	2	2.41	
舞衣	81	2	2.47	
美容化妆	81	2	2.47	
皮手链	82	2	2.44	
电脑包	82	2	2.44	
电烤箱	82	2	2.44	
爸爸鞋	81	2	2.47	
滑滑车	83	2	2.41	
清痘	82	2	2.44	
新面料	82	2	2.44	
手镯子	83	2	2.41	
戏剧	82	2	2.44	
影驰	83	2	2.41	
小皮衣	81	2	2.47	
女模特	82	2	2.44	
外婆家	81	2	2.47	
内屏	81	2	2.47	
全脂	82	2	2.44	
二开门	83	2	2.41	
三孔	81	2	2.47	
一物	81	2	2.47	
vinocave	83	2	2.41	
merries	81	2	2.47	
lumia920	83	2	2.41	
餐边柜	81	1	1.23	
诠渡良品	82	1	1.22	
苗族	81	1	1.23	
花纹钢	81	1	1.23	
窗花纸	81	1	1.23	
眼镜袋	81	1	1.23	
真水晶	82	1	1.22	
百年好合	82	1	1.22	
白水	81	1	1.23	
男宝	81	1	1.23	
男女生	81	1	1.23	
狼毫	82	1	1.22	
爱可美	82	1	1.22	
施华洛	82	1	1.22	
散热风扇	82	1	1.22	
工程服	82	1	1.22	
大喷	82	1	1.22	
不含芯	81	1	1.23	
xqg60	81	1	1.23	
mlgb	81	1	1.23	
louboutin	81	1	1.23	
hottoys	81	1	1.23	
920t	82	1	1.22	
55mm	82	1	1.22	
140ml	82	1	1.22	
1020	82	1	1.22	
初始化类别中心8:
754	4	0.53	
类别8:
边框	782	31	3.96	
益智玩具	780	24	3.08	
15寸	760	23	3.03	
香奈儿	768	21	2.73	
门厅	763	20	2.62	
美容院	766	20	2.61	
newbalance	775	20	2.58	
职业女装	759	19	2.5	
通用型	777	18	2.32	
猫咪	778	18	2.31	
影集	779	18	2.31	
排行榜	767	17	2.22	
定型	757	17	2.25	
遮光布	763	16	2.1	
武汉	773	15	1.94	
新奇特	778	14	1.8	
寝室	781	14	1.79	
第6感	753	13	1.73	
阿依莲	769	11	1.43	
户外休闲	753	11	1.46	
陶瓷餐具	774	10	1.29	
衣服装	757	10	1.32	
耳机	780	10	1.28	
粘贴式	756	10	1.32	
牛奶	775	10	1.29	
数字	750	10	1.33	
孕产妇	781	10	1.28	
千纤草	765	10	1.31	
隔珠	756	9	1.19	
邂逅	750	9	1.2	
越野	780	9	1.15	
层层	765	9	1.18	
台灯	753	9	1.2	
长柄伞	778	8	1.03	
创意狐	753	8	1.06	
宅美	774	7	0.9	
梦幻	762	6	0.79	
抓夹	753	6	0.8	
厨具	767	6	0.78	
全球联保	768	6	0.78	
二折	771	6	0.78	
sharp	776	6	0.77	
科鲁兹	768	5	0.65	
棵棵树	765	5	0.65	
插电	772	5	0.65	
年货	780	5	0.64	
餐椅	749	4	0.53	
防走失	763	4	0.52	
毛巾	759	4	0.53	
指甲	761	4	0.53	
开业	778	4	0.51	
小丑鱼	763	4	0.52	
奥利奥	754	4	0.53	
透明梗	777	3	0.39	
贴身	754	3	0.4	
肥料	778	3	0.39	
篮球服	754	3	0.4	
科龙	779	3	0.39	
祺娃娃	755	3	0.4	
楼兰蜜语	762	3	0.39	
圣迪奥	779	3	0.39	
唐唐十字绣	769	3	0.39	
仙娉莱	749	3	0.4	
